,S,K,r,v,t,premium,optype
115,2011.48,16000.0,0,300.0,0.0009522450532724506,6.948217,P
116,2011.48,17000.0,0,300.0,0.0009522450532724506,0.0,C
117,2011.48,17000.0,0,300.0,0.0009522450532724506,7.444981,P
118,2011.48,18000.0,0,300.0,0.0009522450532724506,0.0,C
119,2011.48,18000.0,0,300.0,0.0009522450532724506,7.941745,P
120,2011.48,19000.0,0,300.0,0.0009522450532724506,0.0,C
121,2011.48,19000.0,0,300.0,0.0009522450532724506,8.438508,P
122,2011.48,20000.0,0,300.0,0.0009522450532724506,0.0,C
123,2011.48,20000.0,0,300.0,0.0009522450532724506,8.935272,P
124,2011.48,1850.0,0,78.85,0.003691971080669711,0.081082,C
125,2011.48,1850.0,0,78.85,0.003691939370877727,0.001022,P
126,2011.48,1900.0,0,67.99,0.003691939370877727,0.05715,C
127,2011.48,1900.0,0,67.99,0.003691939370877727,0.001953,P
128,2011.48,1925.0,0,63.29,0.003691939370877727,0.045657,C
129,2011.48,1925.0,0,63.29,0.003691939370877727,0.002892,P
130,2011.48,1950.0,0,59.46,0.003691939370877727,0.034833,C
131,2011.48,1950.0,0,59.46,0.003691939370877727,0.0045,P
132,2011.48,1975.0,0,56.96,0.003691939370877727,0.02518,C
133,2011.48,1975.0,0,56.96,0.003691939370877727,0.007279,P
134,2011.48,2000.0,0,54.01,0.003691939370877727,0.016747,C
135,2011.48,2000.0,0,54.01,0.003691939370877727,0.011277,P
136,2011.48,2025.0,0,51.76,0.003691939370877727,0.010154,C
137,2011.48,2025.0,0,51.71,0.0036919076610857434,0.017284,P
138,2011.48,2050.0,0,51.76,0.0036919076610857434,0.005817,C
139,2011.48,2050.0,0,51.76,0.0036919076610857434,0.025519,P
140,2011.48,2075.0,0,54.47,0.0036919076610857434,0.00357,C
141,2011.48,2075.0,0,54.47,0.0036919076610857434,0.035708,P
142,2011.48,2100.0,0,55.48,0.0036919076610857434,0.001965,C
143,2011.48,2100.0,0,55.48,0.0036919076610857434,0.046539,P
144,2011.48,2125.0,0,59.15,0.0036919076610857434,0.00127,C
145,2011.48,2125.0,0,59.15,0.0036919076610857434,0.058279,P
146,2011.48,2150.0,0,61.71,0.0036919076610857434,0.000772,C
147,2011.48,2150.0,0,61.71,0.0036919076610857434,0.070216,P
148,2011.48,2200.0,0,70.67,0.0036919076610857434,0.000427,C
149,2011.48,2200.0,0,70.67,0.0036919076610857434,0.094742,P
150,2011.48,2250.0,0,75.86,0.0036918759512937593,0.000187,C
151,2011.48,2250.0,0,75.86,0.0036918759512937593,0.119373,P
152,2011.48,1850.0,0,65.75,0.00643160197869102,0.081234,C
153,2011.48,1850.0,0,65.75,0.00643160197869102,0.001454,P
154,2011.48,1900.0,0,57.38,0.00643160197869102,0.057583,C
155,2011.48,1900.0,0,57.38,0.00643160197869102,0.002673,P
156,2011.48,1950.0,0,51.18,0.00643160197869102,0.035835,C
157,2011.48,1950.0,0,51.18,0.00643160197869102,0.005796,P
158,2011.48,1975.0,0,49.13,0.00643160197869102,0.026431,C
159,2011.48,1975.0,0,49.13,0.00643160197869102,0.008828,P
160,2011.48,2000.0,0,47.87,0.00643160197869102,0.018529,C
161,2011.48,2000.0,0,47.87,0.00643160197869102,0.013361,P
162,2011.48,2025.0,0,47.23,0.00643160197869102,0.012329,C
163,2011.48,2025.0,0,47.23,0.006431570268899036,0.019596,P
164,2011.48,2050.0,0,47.45,0.006431570268899036,0.007923,C
165,2011.48,2050.0,0,47.45,0.006431570268899036,0.027626,P
166,2011.48,2075.0,0,47.8,0.006431570268899036,0.004868,C
167,2011.48,2075.0,0,47.8,0.006431570268899036,0.037006,P
168,2011.48,2100.0,0,49.33,0.006431570268899036,0.003076,C
169,2011.48,2100.0,0,49.33,0.006431570268899036,0.047649,P
170,2011.48,2150.0,0,52.86,0.006431570268899036,0.001241,C
171,2011.48,2150.0,0,52.86,0.006431570268899036,0.070685,P
172,2011.48,2200.0,0,56.16,0.006431570268899036,0.000494,C
173,2011.48,2200.0,0,56.16,0.006431570268899036,0.094809,P
174,2011.48,1300.0,0,124.73,0.020130200405885337,0.353948,C
175,2011.48,1300.0,0,124.73,0.020130168696093353,0.000348,P
176,2011.48,1400.0,0,111.4,0.020130168696093353,0.304415,C
177,2011.48,1400.0,0,111.4,0.020130168696093353,0.000537,P
178,2011.48,1500.0,0,105.34,0.020130168696093353,0.255451,C
179,2011.48,1500.0,0,105.34,0.020130168696093353,0.001296,P
180,2011.48,1600.0,0,88.37,0.020130168696093353,0.206059,C
181,2011.48,1600.0,0,88.37,0.020130168696093353,0.001596,P
182,2011.48,1700.0,0,77.73,0.020130168696093353,0.157693,C
183,2011.48,1700.0,0,77.73,0.020130168696093353,0.002951,P
184,2011.48,1800.0,0,68.45,0.020130168696093353,0.111026,C
185,2011.48,1800.0,0,68.45,0.020130168696093353,0.006005,P
186,2011.48,1900.0,0,62.19,0.020130168696093353,0.069047,C
187,2011.48,1900.0,0,62.19,0.020130168696093353,0.013747,P
188,2011.48,2000.0,0,56.98,0.02013013698630137,0.03538,C
189,2011.48,2000.0,0,56.98,0.02013013698630137,0.029802,P
190,2011.48,2100.0,0,56.82,0.02013013698630137,0.015715,C
191,2011.48,2100.0,0,56.82,0.02013013698630137,0.059857,P
192,2011.48,2200.0,0,58.73,0.02013013698630137,0.006477,C
193,2011.48,2200.0,0,58.74,0.02013013698630137,0.100348,P
194,2011.48,2300.0,0,62.78,0.02013013698630137,0.00289,C
195,2011.48,2300.0,0,62.78,0.02013013698630137,0.14648,P
196,2011.48,2400.0,0,68.1,0.02013013698630137,0.001489,C
197,2011.48,2400.0,0,68.1,0.02013013698630137,0.1948,P
198,2011.48,2500.0,0,75.3,0.02013013698630137,0.000985,C
199,2011.48,2500.0,0,75.3,0.02013013698630137,0.244017,P
200,2011.48,2600.0,0,81.16,0.02013013698630137,0.000637,C
201,2011.48,2600.0,0,81.16,0.020130105276509387,0.293391,P
202,2011.48,2700.0,0,88.49,0.020130105276509387,0.000507,C
203,2011.48,2700.0,0,88.49,0.020130105276509387,0.342983,P
204,2011.48,2800.0,0,97.74,0.020130105276509387,0.000507,C
205,2011.48,2800.0,0,97.74,0.020130105276509387,0.392704,P
206,2011.48,2900.0,0,106.54,0.020130105276509387,0.000507,C
207,2011.48,2900.0,0,106.54,0.020130105276509387,0.442382,P
208,2011.48,3000.0,0,114.94,0.020130105276509387,0.000507,C
209,2011.48,3000.0,0,114.94,0.020130105276509387,0.492102,P
210,2011.48,3100.0,0,122.96,0.020130105276509387,0.000507,C
211,2011.48,3100.0,0,122.96,0.020130105276509387,0.541822,P
212,2011.48,3200.0,0,123.87,0.020130105276509387,0.000314,C
213,2011.48,3200.0,0,123.87,0.020130105276509387,0.591348,P
214,2011.48,1300.0,0,114.28,0.03930815575849823,0.355872,C
215,2011.48,1300.0,0,114.28,0.03930815575849823,0.001927,P
216,2011.48,1400.0,0,100.91,0.03930815575849823,0.306619,C
217,2011.48,1400.0,0,100.91,0.03930815575849823,0.002371,P
218,2011.48,1500.0,0,88.08,0.03930815575849823,0.257508,C
219,2011.48,1500.0,0,88.08,0.03930815575849823,0.002956,P
220,2011.48,1600.0,0,76.6,0.03930815575849823,0.208833,C
221,2011.48,1600.0,0,76.6,0.03930815575849823,0.003978,P
222,2011.48,1700.0,0,69.05,0.03930815575849823,0.161898,C
223,2011.48,1700.0,0,69.05,0.03930815575849823,0.006739,P
224,2011.48,1800.0,0,63.96,0.03930815575849823,0.118152,C
225,2011.48,1800.0,0,63.96,0.03930815575849823,0.012689,P
226,2011.48,1900.0,0,59.7,0.03930812404870624,0.079273,C
227,2011.48,1900.0,0,59.7,0.03930812404870624,0.023512,P
228,2011.48,2000.0,0,57.89,0.03930812404870624,0.048987,C
229,2011.48,2000.0,0,57.89,0.03930812404870624,0.042922,P
230,2011.48,2100.0,0,58.29,0.03930812404870624,0.028696,C
231,2011.48,2100.0,0,58.29,0.03930812404870624,0.072328,P
232,2011.48,2200.0,0,65.59,0.03930812404870624,0.020114,C
233,2011.48,2200.0,0,65.59,0.03930812404870624,0.113443,P
234,2011.48,2300.0,0,62.19,0.03930812404870624,0.009492,C
235,2011.48,2300.0,0,62.19,0.03930812404870624,0.152517,P
236,2011.48,2400.0,0,64.52,0.03930812404870624,0.005495,C
237,2011.48,2400.0,0,64.52,0.03930812404870624,0.198217,P
238,2011.48,2500.0,0,68.11,0.03930812404870624,0.003527,C
239,2011.48,2500.0,0,68.11,0.039308092338914254,0.245956,P
240,2011.48,2600.0,0,68.95,0.039308092338914254,0.001892,C
241,2011.48,2600.0,0,68.95,0.039308092338914254,0.294018,P
242,2011.48,2700.0,0,74.76,0.039308092338914254,0.001575,C
243,2011.48,2700.0,0,74.76,0.039308092338914254,0.343399,P
244,2011.48,2800.0,0,82.37,0.039308092338914254,0.001591,C
245,2011.48,2800.0,0,82.37,0.039308092338914254,0.393112,P
246,2011.48,1400.0,0,83.75,0.05848617453069508,0.307071,C
